49	sisa@sisa.com	home	OrdenFumigacion : all	2021-07-15 00:43:51 -0300 	\N	2021-07-15 03:43:51.472479	2021-07-15 03:43:51.472479
50	sisa@sisa.com	home	OrdenFumigacion : all	2021-07-15 00:55:28 -0300 	\N	2021-07-15 03:55:28.438151	2021-07-15 03:55:28.438151
51	sisa@sisa.com	update	Cliente : {"cuit"=>"2637", "rubro"=>"DESPENSA                    C.800", "apellido"=>"CAMPERO   ", "nombre"=>"VICTOR                       03/04/21", "domicilio"=>"MANZANA  Nº  404  \\"C\\"  -  LOTE  Nº  5  - 3ª  ETAPA  ", "barrio"=>"SOLIDARIDAD ", "localidad"=>"", "celular"=>"", "telefono"=>"154630007  -  4716990", "correo"=>"", "observaciones_cliente"=>" ", "tipo_cliente"=>"", "calificacion"=>"2"}	2021-07-15 00:56:25 -0300 Cliente.find(params[:id])	\N	2021-07-15 03:56:25.133987	2021-07-15 03:56:25.133987
52	sisa@sisa.com	home	OrdenFumigacion : all	2021-07-15 01:10:02 -0300 	\N	2021-07-15 04:10:02.706718	2021-07-15 04:10:02.706718
53	sisa@sisa.com	create	OrdenFumigacion : {"cliente_id"=>"2", "tecnico_id"=>"3", "nro_certificado"=>"224", "tipo_certificado"=>"F", "fecha_aplicacion"=>"2021-07-12", "hora_aplicacion"=>"05:35:00.000", "tratamiento"=>"", "vector"=>"", "superficie"=>"", "veneno"=>"C", "droga"=>"", "observaciones_ordfumigacion"=>"", "fecha_vencimiento"=>"2021-07-15", "proximo_tratamiento"=>"2021-08-11", "importe"=>""}	2021-07-15 01:10:17 -0300 	\N	2021-07-15 04:10:17.097935	2021-07-15 04:10:17.097935
54	sisa@sisa.com	home	OrdenFumigacion : all	2021-07-15 01:10:18 -0300 	\N	2021-07-15 04:10:18.724484	2021-07-15 04:10:18.724484
55	sisa@sisa.com	home	OrdenFumigacion : all	2021-07-15 01:15:10 -0300 	\N	2021-07-15 04:15:10.666424	2021-07-15 04:15:10.666424
56	sisa@sisa.com	create	OrdenFumigacion : {"cliente_id"=>"2", "tecnico_id"=>"3", "nro_certificado"=>"4343473", "tipo_certificado"=>"F", "fecha_aplicacion"=>"2021-04-11", "hora_aplicacion"=>"23:02:00.000", "tratamiento"=>"Humo", "vector"=>"Voladores", "superficie"=>"", "veneno"=>"C", "droga"=>"Bromadilone", "observaciones_ordfumigacion"=>"VA UN EQUIPO DE TECNICOS <<<<", "fecha_vencimiento"=>"2021-07-15", "proximo_tratamiento"=>"2021-04-11", "importe"=>"44545"}	2021-07-15 01:15:38 -0300 	\N	2021-07-15 04:15:38.653148	2021-07-15 04:15:38.653148
57	sisa@sisa.com	home	OrdenFumigacion : all	2021-07-15 01:15:41 -0300 	\N	2021-07-15 04:15:41.660026	2021-07-15 04:15:41.660026
58	sisa@sisa.com	update	Cliente : {"cuit"=>"1770", "rubro"=>"DESPENSA           C.700", "apellido"=>"RODRIGUEZ   ", "nombre"=>"ZULEMA              26/02/21", "domicilio"=>"MANZANA  \\"C\\"  -  LOTE  Nº  140", "barrio"=>"NUESTRA  SEÑORA  DEL  CARMEN  ", "localidad"=>"", "celular"=>"MAURO", "telefono"=>"4331327", "correo"=>"", "observaciones_cliente"=>" ", "tipo_cliente"=>"", "calificacion"=>""}	2021-07-15 01:26:38 -0300 Cliente.find(params[:id])	\N	2021-07-15 04:26:38.641161	2021-07-15 04:26:38.641161
